Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17814669999415855
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 97 | Reward: 97.12 | Avg: 105.46 | Epsilon: 0.907 | Steps: 120
Episode 98 | Reward: 107.00 | Avg: 105.57 | Epsilon: 0.906 | Steps: 420
Episode 99 | Reward: 106.55 | Avg: 105.47 | Epsilon: 0.905 | Steps: 426
Episode 100 | Reward: 98.40 | Avg: 105.24 | Epsilon: 0.904 | Steps: 144
Episode 101 | Reward: 106.15 | Avg: 105.40 | Epsilon: 0.903 | Steps: 545
Episode 102 | Reward: 103.54 | Avg: 105.37 | Epsilon: 0.902 | Steps: 253
Episode 103 | Reward: 100.92 | Avg: 105.06 | Epsilon: 0.901 | Steps: 266
Episode 104 | Reward: 103.16 | Avg: 104.63 | Epsilon: 0.900 | Steps: 378
Episode 105 | Reward: 109.04 | Avg: 104.58 | Epsilon: 0.899 | Steps: 288
Episode 106 | Reward: 117.41 | Avg: 104.97 | Epsilon: 0.898 | Steps: 998
Episode 107 | Reward: 95.53 | Avg: 104.94 | Epsilon: 0.898 | Steps: 81
Episode 108 | Reward: 108.59 | Avg: 104.88 | Epsilon: 0.897 | Steps: 365
Episode 109 | Reward: 99.84 | Avg: 104.37 | Epsilon: 0.896 | Steps: 191
Episode 110 | Reward: 125.20 | Avg: 104.93 | Epsilon: 0.895 | Steps: 1115
Episode 111 | Reward: 101.45 | Avg: 104.86 | Epsilon: 0.894 | Steps: 293
Episode 112 | Reward: 124.61 | Avg: 105.25 | Epsilon: 0.893 | Steps: 794
Episode 113 | Reward: 110.57 | Avg: 105.26 | Epsilon: 0.892 | Steps: 777
Episode 114 | Reward: 99.91 | Avg: 105.28 | Epsilon: 0.891 | Steps: 203
Episode 115 | Reward: 102.82 | Avg: 105.35 | Epsilon: 0.890 | Steps: 505
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.20882179999716755
